"spkid","full_name","pdes","name","pha","H","G","diameter","albedo","rot_per","epoch_mjd","e","a","q","i","om","w","ma","ad","moid","moid_jup","t_jup","class"
3802053,"       (2018 FN3)","2018 FN3",,N,25.70,,,,,59800,0.4922,1.98,1.005,1.89,187.60,335.51,212.51,2.95,0.0185,2.03,3.7,APO
3802057,"       (2018 FO3)","2018 FO3",,N,25.70,,,,,59800,0.0685,1.081,1.007,10.59,182.71,89.53,240.84,1.15,0.0668,3.85,5.71,APO
3802054,"       (2018 FP3)","2018 FP3",,N,21.22,,,,,59800,0.4106,2.04,1.202,5.35,204.11,55.76,144.23,2.88,0.205,2.21,3.69,AMO
3802056,"       (2018 FQ3)","2018 FQ3",,N,28.60,,,,,58199,0.5083,1.826,0.898,7.86,179.04,314.23,14.69,2.75,0.00188,2.34,3.86,APO
3802055,"       (2018 FR3)","2018 FR3",,N,27.30,,,,,59800,0.4036,1.614,0.963,3.83,174.98,36.02,38.08,2.27,0.00872,2.7,4.24,APO
3802062,"       (2018 FS3)","2018 FS3",,Y,21.48,,,,,59800,0.4858,1.881,0.967,4.33,188.64,69.17,222.32,2.79,0.047,2.29,3.81,APO
3802060,"       (2018 FT3)","2018 FT3",,N,26.80,,,,,59800,0.1702,0.902,0.748,3.11,185.77,173.47,222.92,1.06,0.0288,4.19,6.59,ATE
3802059,"       (2018 FU3)","2018 FU3",,N,26.20,,,,,58199,0.5100,2.06,1.009,3.86,359.57,210.93,351.73,3.11,0.0271,1.87,3.61,APO
3802063,"       (2018 FV3)","2018 FV3",,N,25.50,,,,,59800,0.1347,1.221,1.057,8.50,182.44,47.82,52.11,1.39,0.0864,3.59,5.21,AMO
3802061,"       (2018 FW3)","2018 FW3",,N,26.30,,,,,59800,0.1829,1.299,1.061,8.63,181.25,355.03,349.22,1.54,0.0665,3.42,4.98,AMO
3802065,"       (2018 FX3)","2018 FX3",,N,24.60,,,,,58199,0.2494,1.44,1.081,27.49,180.79,5.74,358.13,1.80,0.0853,3.16,4.52,AMO
3802058,"       (2018 FY3)","2018 FY3",,N,26.20,,,,,58199,0.2908,1.402,0.994,12.43,2.16,149.72,16.33,1.81,0.0265,3.19,4.68,APO
3802066,"       (2018 FZ3)","2018 FZ3",,N,27.60,,,,,59800,0.6136,2.246,0.868,7.41,182.92,48.70,98.07,3.62,0.000393,1.41,3.34,APO
3802064,"       (2018 FA4)","2018 FA4",,N,25.40,,,,,59800,0.6351,2.554,0.932,13.15,356.03,139.97,34.55,4.18,0.0211,1.04,3.09,APO
3802067,"       (2018 FB4)","2018 FB4",,N,27.50,,,,,59800,0.3872,0.9292,0.569,17.25,181.22,233.82,45.27,1.29,0.0171,4.13,6.34,ATE
3802068,"       (2018 FE4)","2018 FE4",,N,24.70,,,,,58205,0.6051,1.647,0.650,19.22,183.71,92.44,335.43,2.64,0.00789,2.78,4.01,APO
3802077,"       (2018 FJ4)","2018 FJ4",,Y,21.10,,,,,59800,0.3866,1.479,0.907,1.23,223.93,88.84,71.47,2.05,0.0131,3.24,4.5,APO
3802079,"       (2018 FK4)","2018 FK4",,N,24.50,,,,,59800,0.7140,2.814,0.805,9.18,8.71,248.15,322.15,4.82,0.0267,0.807,2.87,APO
3802078,"       (2018 FL4)","2018 FL4",,N,23.90,,,,,59800,0.6201,2.476,0.941,2.91,134.81,7.99,52.44,4.01,0.0158,1.02,3.18,APO
3802080,"       (2018 FM4)","2018 FM4",,N,21.70,,,,,59800,0.5542,2.871,1.280,30.89,16.98,186.05,321.65,4.46,0.281,0.531,2.87,AMO
3802081,"       (2018 FN4)","2018 FN4",,N,19.70,,,,,59800,0.6100,2.685,1.047,17.55,38.78,233.68,340.02,4.32,0.153,1.33,3.02,AMO
3802083,"       (2018 FO4)","2018 FO4",,N,27.50,,,,,59800,0.2335,1.23,0.943,4.46,355.00,241.43,41.45,1.52,0.0199,3.48,5.17,APO
3802082,"       (2018 FP4)","2018 FP4",,N,25.30,,,,,58206,0.3232,1.596,1.080,14.72,183.40,19.66,353.63,2.11,0.0935,2.85,4.27,AMO
3802084,"       (2018 FQ4)","2018 FQ4",,N,27.00,,,,,59800,0.4684,1.709,0.909,0.26,99.19,34.45,2.24,2.51,0.000404,2.55,4.06,APO
3802090,"       (2018 FU4)","2018 FU4",,N,25.50,,,,,59800,0.6376,2.814,1.020,3.77,1.98,164.31,336.60,4.61,0.0313,0.368,2.98,AMO
3802093,"       (2018 FV4)","2018 FV4",,N,23.80,,,,,59800,0.4881,2.053,1.051,5.05,221.89,354.93,163.95,3.05,0.0446,1.92,3.63,AMO
