"spkid","full_name","name","prefix","epoch_mjd","a","e","i","om","w","ma","H","G","diameter","albedo","rot_per","q","moid"
3837824,"       (2019 AL10)",,,59800,1.734,0.4020,5.17,318.13,135.68,209.76,25.20,,,,,1.037,0.0783
3837826,"       (2019 AM10)",,,59800,1.158,0.1358,6.15,307.01,138.02,332.54,25.20,,,,,1.001,0.0415
3837827,"       (2019 AO10)",,,59800,1.719,0.3196,54.23,126.75,33.00,190.33,20.70,,,,,1.170,0.23
3837846,"       (2019 AB11)",,,58491,2.502,0.6265,24.55,298.27,283.88,321.99,20.00,,,,,0.934,0.186
3837847,"       (2019 AC11)",,,59800,2.273,0.4329,11.41,52.58,88.93,5.56,21.60,,,,,1.289,0.377
3837848,"       (2019 AD11)",,,59800,1.93,0.4157,38.25,119.06,338.19,123.14,21.40,,,,,1.128,0.167
3837849,"       (2019 AE11)",,,59800,1.886,0.6171,19.02,299.75,81.38,165.49,22.20,,,,,0.722,0.0268
3837851,"       (2019 AF11)",,,59800,1.321,0.3336,6.40,130.02,61.74,79.62,24.00,,,,,0.880,0.0122
3837850,"       (2019 AG11)",,,59800,2.071,0.5273,1.05,185.65,315.60,61.00,26.10,,,,,0.979,0.00911
3837853,"       (2019 AH11)",,,59800,2.623,0.5415,19.02,201.56,348.84,271.84,18.90,,,,,1.203,0.207
3837854,"       (2019 AJ11)",,,58495,2.521,0.5991,2.50,179.30,268.18,5.48,24.70,,,,,1.010,0.0508
3837852,"       (2019 AK11)",,,58495,2.524,0.9024,25.60,325.64,351.97,20.48,19.40,,,,,0.246,0.314
3837855,"       (2019 AL11)",,,58495,2.004,0.6204,9.03,49.57,144.65,338.60,22.20,,,,,0.761,0.0861
3837857,"       (2019 AM11)",,,58495,2.488,0.6742,3.47,62.82,339.30,12.10,24.30,,,,,0.811,0.0338
3837859,"       (2019 AN11)",,,59800,0.8786,0.2258,7.81,302.93,319.59,350.62,25.30,,,,,0.680,0.0138
3837856,"       (2019 AO11)",,,59800,1.241,0.1719,12.12,306.05,189.90,193.73,25.40,,,,,1.028,0.0465
3837858,"       (2019 AP11)",,,59800,0.8948,0.2145,11.06,306.24,313.64,306.98,25.20,,,,,0.703,0.0132
3837860,"       (2019 AQ11)",,,59800,1.1,0.2527,37.03,114.06,249.52,119.33,21.90,,,,,0.822,0.0664
3837861,"       (2019 AR11)",,,59800,1.185,0.1186,25.43,119.26,273.78,345.39,23.70,,,,,1.044,0.155
3837864,"       (2019 AS11)",,,59800,1.123,0.1147,7.22,299.64,204.36,334.72,26.80,,,,,0.994,0.0195
3837862,"       (2019 AT11)",,,58496,2.436,0.5652,3.17,57.29,55.88,359.77,25.30,,,,,1.059,0.0887
3837863,"       (2019 AU11)",,,58497,1.293,0.1965,13.91,286.12,215.04,342.42,24.60,,,,,1.039,0.0818
3837866,"       (2019 AV11)",,,58498,2.366,0.4849,3.53,103.20,10.81,0.79,24.10,,,,,1.219,0.235
3837865,"       (2019 AW11)",,,59800,2.179,0.5109,2.17,83.59,85.54,24.75,22.50,,,,,1.066,0.0834
3837867,"       (2019 AX11)",,,58496,0.7678,0.4276,15.01,295.06,6.31,164.70,25.00,,,,,0.439,0.0903
3837881,"       (2019 AF12)",,,59800,2.145,0.4795,8.35,336.98,66.07,91.33,19.55,,,,,1.117,0.18
3837876,"       (2019 AG12)",,,59800,2.557,0.6684,3.22,91.01,321.65,326.72,23.80,,,,,0.848,0.00986
3837877,"       (2019 AH12)",,,59800,1.263,0.2751,22.22,288.94,127.80,218.07,26.70,,,,,0.915,0.015
3837875,"       (2019 AJ12)",,,58509,1.866,0.5237,1.44,197.64,216.26,23.45,25.60,,,,,0.889,0.00492
3837878,"       (2019 AK12)",,,59800,1.704,0.5421,11.94,113.58,292.76,237.00,27.50,,,,,0.780,0.00566
3837879,"       (2019 AL12)",,,58498,1.457,0.3518,22.12,305.32,105.50,31.81,23.90,,,,,0.944,0.14
3837880,"       (2019 AM12)",,,59800,1.105,0.0568,8.47,294.16,302.41,269.61,25.40,,,,,1.043,0.0502
3837882,"       (2019 AN12)",,,58496,2.233,0.7027,0.27,244.77,319.14,343.48,25.40,,,,,0.664,0.00309
3837883,"       (2019 AO12)",,,59800,0.7716,0.3490,4.54,103.85,202.11,253.17,25.60,,,,,0.502,0.0067
3837901,"       (2019 AC13)",,,59800,1.069,0.4481,13.57,94.77,168.60,334.94,22.50,,,,,0.590,0.202
3837906,"       (2019 AD13)",,,59800,1.427,0.1433,21.71,296.79,324.50,254.37,21.34,,,,,1.223,0.23
3837904,"       (2019 AE13)",,,59800,2.093,0.4704,17.45,29.66,347.55,118.05,19.62,,,,,1.108,0.119
3837903,"       (2019 AF13)",,,59800,0.945,0.3085,5.39,53.94,278.83,78.48,23.80,,,,,0.653,0.0313
