"spkid","full_name","name","prefix","epoch_mjd","a","e","i","om","w","ma","H","G","diameter","albedo","rot_per","q","moid"
3605891,"       (2012 MV4)",,,59800,2.15,0.5246,6.48,256.23,60.70,65.13,20.20,,,,,1.022,0.0789
3605900,"       (2012 MJ6)",,,59800,1.823,0.4896,9.22,82.34,127.10,64.24,21.10,,,,,0.930,0.027
3605901,"       (2012 MK6)",,,59800,2.642,0.5331,2.73,327.00,303.46,131.66,19.00,,,,,1.233,0.222
3605902,"       (2012 ML6)",,,59800,1.515,0.4534,9.50,120.68,83.37,189.71,20.10,,,,,0.828,0.0574
3605937,"       (2012 MS6)",,,59800,2.756,0.5398,13.49,101.00,219.08,60.58,18.24,,,,,1.268,0.289
3605940,"       (2012 MZ6)",,,56106,2.141,0.7120,1.36,317.20,225.05,19.56,21.50,,,,,0.617,0.0147
3605941,"       (2012 MA7)",,,59800,3.081,0.6547,25.20,246.20,18.50,313.60,20.60,,,,,1.064,0.0699
3605942,"       (2012 MB7)",,,59800,1.261,0.2722,20.04,262.54,82.37,5.32,22.20,,,,,0.918,0.0873
3605943,"       (2012 MC7)",,,59800,2.428,0.5654,29.32,111.53,113.98,252.61,20.20,,,,,1.055,0.246
3605944,"       (2012 MD7)",,,59800,0.977,0.1088,3.76,266.15,135.39,53.67,24.10,,,,,0.871,0.0172
3605945,"       (2012 ME7)",,,59800,2.452,0.5456,11.49,269.16,71.26,212.55,21.30,,,,,1.114,0.208
3605946,"       (2012 MF7)",,,59800,1.475,0.3835,1.97,90.68,127.66,260.72,26.90,,,,,0.909,0.000343
3605947,"       (2012 MG7)",,,59800,1.557,0.2545,13.42,277.92,312.00,105.82,21.00,,,,,1.161,0.194
3606220,"       (2012 NN)",,,59800,2.575,0.6270,4.63,237.52,6.33,165.28,20.90,,,,,0.961,0.0277
3606221,"       (2012 NO)",,,59800,1.243,0.4250,43.68,289.58,117.17,37.77,20.10,,,,,0.715,0.118
3606223,"       (2012 NQ)",,,56128,1.878,0.7581,11.45,255.06,151.08,337.69,20.20,,,,,0.454,0.142
3606252,"       (2012 OO)",,,59800,1.697,0.3835,4.84,160.90,179.90,180.99,20.60,,,,,1.046,0.0372
3606253,"       (2012 OQ)",,,59800,1.191,0.3950,7.10,294.07,100.68,214.12,21.90,,,,,0.720,0.0148
3606264,"       (2012 OA1)",,,59800,2.126,0.4803,7.25,294.55,358.35,89.98,21.30,,,,,1.105,0.0882
3606265,"       (2012 OB1)",,,59800,2.256,0.4720,6.83,292.39,31.41,342.74,20.70,,,,,1.191,0.188
3606266,"       (2012 OC1)",,,59800,2.723,0.5312,8.14,103.57,111.08,120.74,17.54,,,,,1.277,0.308
3606269,"       (2012 OE1)",,,59800,2.198,0.4125,6.16,266.19,58.97,24.11,20.20,,,,,1.291,0.297
3606270,"       (2012 OU1)",,,59800,1.365,0.3510,11.61,120.95,244.93,73.56,24.50,,,,,0.886,0.0157
3606308,"       (2012 OP4)",,,59800,2.118,0.6582,20.65,143.60,262.79,69.66,20.00,,,,25.89,0.724,0.0491
3607079,"       (2012 OU5)",,,59800,2.121,0.4010,8.22,136.64,182.45,83.52,21.60,,,,,1.271,0.257
3606312,"       (2012 PA)",,,59800,1.358,0.7031,11.25,170.47,14.73,152.44,20.32,,,,,0.403,0.147
3607086,"       (2012 PN)",,,59800,2.522,0.5893,1.25,162.28,148.15,178.99,24.70,,,,,1.036,0.0241
3607372,"       (2012 PX)",,,59800,2.268,0.5655,3.40,175.51,199.67,318.89,23.20,,,,,0.986,0.00115
3607382,"       (2012 PS4)",,,59800,1.768,0.5927,3.94,86.21,144.20,116.97,21.30,,,,,0.720,0.0459
3607400,"       (2012 PG5)",,,59800,3.017,0.5967,16.60,157.19,208.83,315.40,18.78,,,,,1.217,0.239
3607411,"       (2012 PG6)",,,59800,0.8373,0.6160,6.54,311.95,169.86,252.32,20.29,,,,,0.322,0.0535
3607412,"       (2012 PH6)",,,59800,1.754,0.3491,22.88,136.98,209.29,93.69,21.10,,,,,1.142,0.16
3607413,"       (2012 PJ6)",,,59800,2.135,0.4253,6.80,167.78,145.07,78.04,21.40,,,,,1.227,0.224
3607466,"       (2012 PN6)",,,59800,1.687,0.3211,29.78,147.65,162.14,205.45,22.20,,,,,1.145,0.145
3607479,"       (2012 PO17)",,,59800,2.159,0.4463,8.44,286.30,12.00,60.69,22.90,,,,,1.195,0.181
3607480,"       (2012 PP17)",,,59800,2.499,0.5352,5.76,242.52,67.78,190.91,21.60,,,,,1.162,0.177
3607481,"       (2012 PS17)",,,59800,2.493,0.5146,12.57,317.00,38.62,185.21,20.00,,,,,1.210,0.236
3607504,"       (2012 PZ17)",,,59800,0.8941,0.1424,5.42,139.84,7.34,104.08,26.70,,,,,0.767,0.00641
3607527,"       (2012 PY19)",,,59800,0.8726,0.2005,1.36,318.13,172.10,281.83,27.50,,,,,0.698,0.00979
3607528,"       (2012 PZ19)",,,59800,2.312,0.5412,2.33,297.79,72.93,290.55,24.60,,,,,1.061,0.0723
3607529,"       (2012 PA20)",,,59800,2.025,0.5829,6.79,299.83,118.84,137.42,22.20,,,,,0.845,0.0181
3607530,"       (2012 PB20)",,,59800,1.054,0.0949,5.84,142.90,50.03,202.70,24.91,,,,,0.954,0.000774
3607532,"       (2012 PD20)",,,59800,1.856,0.4428,3.64,136.59,191.54,339.48,25.40,,,,,1.034,0.0236
3607626,"       (2012 PK24)",,,59800,1.324,0.4123,6.67,318.14,105.80,149.29,23.64,,,,,0.778,0.001
3607627,"       (2012 PP24)",,,59800,2.147,0.4606,4.97,164.02,169.63,58.36,22.20,,,,,1.158,0.149
3607665,"       (2012 PM28)",,,56153,1.808,0.6738,9.62,309.94,126.84,328.37,22.80,,,,,0.590,0.0958
3607683,"       (2012 PO28)",,,59800,2.089,0.3861,3.59,176.64,118.95,122.68,22.14,,,,,1.282,0.273
3607667,"       (2012 PP28)",,,59800,1.99,0.6066,5.67,254.07,133.63,179.38,19.30,,,,,0.783,0.0262
3607668,"       (2012 PQ28)",,,59800,2.189,0.5379,21.20,118.83,294.96,355.84,18.40,,,,,1.012,0.195
3607669,"       (2012 QJ2)",,,59800,2.206,0.4442,28.86,181.90,154.47,14.40,20.40,,,,,1.226,0.25
3607717,"       (2012 QV2)",,,59800,2.23,0.5521,7.15,337.05,21.56,349.92,24.03,,,,,0.999,0.0112
3607728,"       (2012 QC8)",,,59800,2.821,0.7583,5.68,22.20,47.70,29.43,18.04,,,,,0.682,0.0453
3607729,"       (2012 QD8)",,,59800,1.912,0.6980,5.58,348.74,87.75,250.17,23.10,,,,,0.577,0.00226
3607741,"       (2012 QG8)",,,59800,2.548,0.5130,0.20,131.28,93.06,205.60,19.10,,,,,1.241,0.233
3607742,"       (2012 QH8)",,,59800,0.919,0.3669,19.41,140.96,356.45,319.09,21.30,,,,,0.582,0.226
3607877,"       (2012 QO10)",,,59800,1.664,0.4826,5.74,262.31,188.46,173.42,18.91,,,,,0.861,0.0673
3607784,"       (2012 QQ10)",,,59800,1.935,0.4681,3.96,65.54,227.98,270.05,20.90,,,,,1.029,0.0456
3607819,"       (2012 QH14)",,,59800,1.91,0.5274,1.09,135.83,243.96,264.15,27.30,,,,,0.903,0.00583
3607820,"       (2012 QJ14)",,,56161,2.472,0.5250,15.92,145.64,162.10,5.22,23.20,,,,,1.174,0.172
3607821,"       (2012 QK14)",,,59800,2.496,0.4846,4.44,143.72,209.67,182.19,22.40,,,,,1.286,0.284
3607823,"       (2012 QL14)",,,59800,0.7736,0.5410,15.33,329.74,194.25,7.35,24.40,,,,,0.355,0.073
3607822,"       (2012 QM14)",,,56158,1.222,0.3869,0.92,4.03,225.40,52.22,25.70,,,,,0.749,0.00959
3607833,"       (2012 QY14)",,,59800,2.396,0.4768,3.19,241.03,122.32,235.96,20.00,,,,,1.254,0.257
3607874,"       (2012 QZ16)",,,59800,1.538,0.5034,6.12,151.54,259.04,50.29,25.50,,,,,0.764,0.00886
3607924,"       (2012 QP17)",,,59800,2.874,0.6319,14.24,165.84,261.87,358.49,18.62,,,,,1.058,0.239
3607957,"       (2012 QV17)",,,59800,2.802,0.6425,11.32,150.51,189.46,39.91,25.00,,,,,1.002,0.00372
3607958,"       (2012 QW17)",,,56166,2.435,0.6524,12.73,153.09,116.58,12.08,23.60,,,,,0.847,0.0316
3607959,"       (2012 QX17)",,,59800,2.255,0.4867,2.79,165.53,164.30,338.11,21.90,,,,,1.157,0.147
3607960,"       (2012 QY17)",,,56165,1.514,0.2990,18.61,152.24,180.80,0.02,25.60,,,,,1.061,0.0504
3607961,"       (2012 QZ17)",,,59800,2.508,0.5607,2.33,150.46,191.73,179.39,25.30,,,,,1.102,0.0937
3607962,"       (2012 QA18)",,,56165,1.664,0.3650,22.64,151.45,154.09,12.08,23.70,,,,,1.057,0.0711
3607963,"       (2012 QB18)",,,59800,1.991,0.5528,7.50,150.68,125.39,210.53,24.00,,,,,0.890,0.0129
3607964,"       (2012 QC18)",,,59800,2.23,0.5211,1.64,223.98,124.88,351.44,23.90,,,,,1.068,0.0662
3607965,"       (2012 QD18)",,,56166,1.764,0.4350,8.41,153.00,145.83,12.98,26.00,,,,,0.997,0.0265
3608091,"       (2012 QF42)",,,59800,2.319,0.5462,4.98,152.94,237.88,279.50,21.64,,,,,1.052,0.0899
3608092,"       (2012 QG42)",,,59800,1.026,0.3744,6.81,344.78,116.18,123.56,20.90,,,,24.22,0.642,0.0139
3608218,"       (2012 QJ45)",,,59800,1.816,0.3531,10.12,131.93,256.08,358.72,21.00,,,,,1.175,0.25
3608219,"       (2012 QK45)",,,56167,2.172,0.5233,3.00,333.60,335.62,7.44,25.90,,,,,1.036,0.0289
3608323,"       (2012 QG49)",,,59800,1.195,0.3698,4.98,291.58,150.08,157.62,22.62,,,,,0.753,0.068
3608324,"       (2012 QH49)",,,59800,2.702,0.5992,38.29,155.51,160.38,87.87,20.80,,,,,1.083,0.0949
3608326,"       (2012 QE50)",,,59800,1.733,0.4408,11.90,193.92,224.88,97.11,19.04,,,,,0.969,0.0462
3608404,"       (2012 QQ50)",,,59800,1.717,0.5044,9.42,244.32,201.65,101.62,19.82,,,,,0.851,0.0784
3608405,"       (2012 QR50)",,,59800,1.526,0.1722,22.92,359.44,330.83,118.92,19.53,,,,,1.263,0.277
3608427,"       (2012 RO1)",,,59800,2.531,0.5140,26.11,313.94,105.58,141.12,19.70,,,,,1.230,0.456
3608473,"       (2012 RL2)",,,59800,1.749,0.4107,3.21,122.25,238.92,96.64,23.70,,,,,1.031,0.0519
3608474,"       (2012 RM2)",,,59800,2.051,0.5189,4.85,192.19,111.69,146.21,22.80,,,,,0.987,0.0583
3608475,"       (2012 RB3)",,,56181,2.121,0.4901,45.67,164.96,139.97,16.94,20.50,,,,,1.081,0.155
3608483,"       (2012 RH3)",,,59800,2.284,0.4866,3.56,292.83,20.23,321.46,21.30,,,,,1.173,0.16
3608519,"       (2012 RN6)",,,59800,1.644,0.6509,3.25,45.19,195.11,281.60,21.10,,,,,0.574,0.0536
3608565,"       (2012 RH10)",,,59800,1.145,0.4691,13.91,352.31,123.01,317.40,22.10,,,,,0.608,0.0756
3608566,"       (2012 RJ10)",,,56186,2.172,0.6222,4.38,348.23,294.07,16.05,25.40,,,,,0.821,0.00911
3608618,"       (2012 RG15)",,,59800,1.077,0.4535,48.94,336.63,247.22,16.25,19.76,,,,,0.589,0.0232
3608619,"       (2012 RH15)",,,56187,2.465,0.5727,3.98,195.43,159.86,359.57,24.80,,,,,1.053,0.0541
3608620,"       (2012 RJ15)",,,59800,1.009,0.1240,24.76,175.84,320.20,141.67,23.60,,,,,0.883,0.0863
3608621,"       (2012 RK15)",,,59800,2.319,0.6666,0.42,34.21,29.06,269.77,23.30,,,,,0.773,0.0043
3608622,"       (2012 RL15)",,,59800,0.8766,0.2940,26.50,172.98,334.09,245.42,24.30,,,,,0.619,0.0776
3608623,"       (2012 RM15)",,,59800,1.095,0.2495,8.01,171.22,89.80,297.09,24.30,,,,,0.822,0.01
3608624,"       (2012 RN15)",,,56186,1.388,0.2535,29.24,172.84,157.51,13.93,24.50,,,,,1.036,0.0461
3608625,"       (2012 RO15)",,,59800,1.622,0.3630,12.45,356.35,324.49,300.09,23.80,,,,,1.033,0.0661
3608626,"       (2012 RP15)",,,59800,2.595,0.5841,4.36,161.31,220.15,128.47,23.00,,,,,1.079,0.094
3608664,"       (2012 RQ16)",,,59800,2.353,0.4812,4.78,252.47,81.02,275.21,21.00,,,,,1.220,0.229
3608665,"       (2012 RR16)",,,59800,1.38,0.2960,3.85,169.99,145.84,58.24,24.50,,,,,0.972,0.00225
3608667,"       (2012 RT16)",,,59800,0.9341,0.2952,10.40,172.10,54.42,79.96,26.90,,,,,0.658,0.0121
3608668,"       (2012 RU16)",,,56191,2.487,0.6127,0.40,310.92,357.49,10.46,25.50,,,,,0.963,0.0031
3608669,"       (2012 RV16)",,,59800,2.769,0.6705,20.22,7.58,69.07,40.12,19.63,,,,,0.912,0.134
3608670,"       (2012 RW16)",,,59800,2.449,0.5688,5.61,0.52,357.29,209.32,25.10,,,,,1.056,0.0525
3608671,"       (2012 RX16)",,,59800,1.939,0.3825,2.52,103.95,274.95,230.15,20.90,,,,,1.197,0.205
54115828,"       (2012 RO48)",,,59800,2.353,0.5063,7.57,189.59,113.41,283.73,20.90,,,,,1.162,0.194
3608726,"       (2012 SW2)",,,59800,2.371,0.6794,3.24,180.92,240.88,239.24,27.50,,,,,0.760,0.00548
3608727,"       (2012 SX2)",,,56187,2.025,0.5011,7.33,346.31,331.41,10.74,25.20,,,,,1.010,0.0291
3608728,"       (2012 SY2)",,,59800,2.566,0.5216,10.59,357.70,12.23,142.80,22.10,,,,,1.228,0.229
3608729,"       (2012 SZ2)",,,59800,1.302,0.2796,17.12,174.67,232.01,205.46,25.30,,,,,0.938,0.0167
3608730,"       (2012 SA3)",,,56189,1.958,0.6458,9.27,168.64,86.68,26.57,22.40,,,,,0.694,0.026
3608731,"       (2012 SB3)",,,56190,1.477,0.3652,2.69,173.49,133.77,23.33,27.70,,,,,0.938,0.00343
3608784,"       (2012 SK8)",,,59800,1.341,0.2264,23.47,185.26,119.29,170.37,20.50,,,,,1.037,0.129
3608785,"       (2012 SL8)",,,59800,1.283,0.4525,17.55,355.82,136.70,194.72,20.80,,,,,0.702,0.174
3608786,"       (2012 SM8)",,,56190,1.542,0.3399,4.70,177.05,207.88,347.14,26.30,,,,,1.018,0.032
3608822,"       (2012 ST9)",,,59800,1.959,0.6628,7.69,174.28,308.38,176.60,19.70,,,,,0.661,0.0653
3608823,"       (2012 SU9)",,,59800,0.9295,0.3600,0.49,323.41,264.34,100.99,27.20,,,,,0.595,0.00395
3608824,"       (2012 SV9)",,,56191,1.999,0.6307,4.77,188.74,80.70,22.31,23.90,,,,,0.738,0.0133
3608929,"       (2012 SV20)",,,59800,1.944,0.4038,12.09,355.33,296.45,270.45,19.90,,,,,1.159,0.228
3608931,"       (2012 SX20)",,,59800,1.742,0.3469,9.75,353.49,316.54,127.69,22.10,,,,,1.137,0.161
3608932,"       (2012 SY20)",,,59800,1.836,0.3596,15.23,347.65,334.07,5.59,22.60,,,,,1.176,0.185
3608933,"       (2012 SA22)",,,59800,2.548,0.4926,29.19,265.15,125.86,162.02,18.20,,,,,1.293,0.432
3608934,"       (2012 SB22)",,,59800,2.361,0.4841,7.38,135.41,199.44,271.43,19.38,,,,,1.218,0.211
3608936,"       (2012 SD22)",,,59800,1.964,0.5726,7.91,140.24,313.83,178.94,20.10,,,,,0.839,0.0168
3609025,"       (2012 SN30)",,,59800,1.259,0.4508,46.45,198.25,8.98,111.05,18.90,,,,,0.692,0.305
3609117,"       (2012 SG32)",,,59800,1.301,0.2643,18.62,174.67,259.18,182.91,21.79,,,,,0.957,0.119
3609118,"       (2012 SH32)",,,59800,1.922,0.4044,16.49,356.73,6.09,251.71,22.20,,,,,1.145,0.142
3609119,"       (2012 SJ32)",,,56194,1.474,0.3679,2.10,175.67,236.93,336.81,25.10,,,,,0.932,0.0094
3609162,"       (2012 SW49)",,,59800,2.523,0.5264,22.76,183.90,137.86,177.71,22.10,,,,,1.195,0.261
3609163,"       (2012 SX49)",,,59800,0.9486,0.1173,3.90,353.51,210.73,38.58,26.20,,,,,0.837,0.0204
3609164,"       (2012 SY49)",,,59800,1.527,0.5567,1.19,5.93,84.37,53.90,25.83,,,,,0.677,8.74e-05
3609165,"       (2012 SZ49)",,,59800,1.575,0.3337,5.81,18.90,310.34,11.83,22.90,,,,,1.049,0.0781
3609221,"       (2012 SK50)",,,56205,1.299,0.1887,8.82,187.52,163.04,14.50,24.80,,,,,1.054,0.0567
3609222,"       (2012 SL50)",,,59800,1.594,0.4646,9.54,184.57,238.51,305.12,26.40,,,,,0.853,0.00191
3609223,"       (2012 SM50)",,,56195,1.204,0.1346,16.40,1.44,63.84,310.17,24.50,,,,,1.042,0.106
3609383,"       (2012 SR56)",,,59800,1.297,0.3599,2.31,359.83,284.96,287.45,24.30,,,,,0.830,0.00358
3609384,"       (2012 SS56)",,,56198,1.886,0.4463,45.85,184.02,163.78,6.61,22.00,,,,,1.044,0.0542
3609485,"       (2012 SF58)",,,56197,2.146,0.5952,8.34,184.07,123.67,13.01,25.90,,,,,0.869,0.0143
3609486,"       (2012 SG58)",,,56198,2.845,0.7093,6.45,14.76,52.92,351.24,23.10,,,,,0.827,0.00251
3609487,"       (2012 SH58)",,,56197,1.903,0.4590,0.34,81.58,280.09,0.80,27.00,,,,,1.030,0.0268
3609488,"       (2012 SJ58)",,,59800,1.222,0.3468,10.07,5.75,83.20,61.45,26.10,,,,,0.798,0.0153
3609504,"       (2012 SA59)",,,59800,2.69,0.5185,9.51,305.34,95.29,79.73,19.10,,,,,1.295,0.357
3609659,"       (2012 TT)",,,59800,1.715,0.4504,37.42,343.43,247.72,228.96,18.01,,,,,0.943,0.15
3609661,"       (2012 TV)",,,59800,1.503,0.5716,5.54,193.42,270.07,94.83,25.21,,,,0.0525,0.644,0.00214
3609693,"       (2012 TC4)",,,59800,1.621,0.4038,0.53,19.73,26.51,111.12,26.70,,,,0.204155,0.966,6.8e-05
3609751,"       (2012 TQ5)",,,59800,1.611,0.3609,13.55,189.63,189.08,290.04,25.20,,,,,1.029,0.0324
3609752,"       (2012 TR5)",,,56206,1.579,0.3864,13.11,191.41,128.25,23.44,25.50,,,,,0.969,0.0566
3609753,"       (2012 TS5)",,,59800,1.414,0.2290,19.99,10.08,336.02,323.20,21.90,,,,,1.090,0.104
3609754,"       (2012 TT5)",,,59800,2.074,0.6545,15.25,11.63,273.09,123.39,21.91,,,,,0.717,0.0545
3609839,"       (2012 TL20)",,,59800,1.614,0.3293,7.72,26.75,322.24,299.81,24.50,,,,,1.082,0.105
3609840,"       (2012 TM20)",,,56209,2.155,0.4914,6.48,209.59,111.59,16.28,22.60,,,,,1.096,0.136
3609841,"       (2012 TN20)",,,59800,1.182,0.3858,11.61,348.79,138.99,167.31,22.39,,,,,0.726,0.137
3609842,"       (2012 TO20)",,,59800,2.539,0.5113,3.74,168.18,216.68,155.01,22.50,,,,,1.241,0.248
3609843,"       (2012 TP20)",,,59800,1.387,0.3264,0.65,207.92,117.55,32.29,27.80,,,,,0.934,0.00377
3609844,"       (2012 TQ20)",,,56209,2.015,0.5146,0.82,349.50,60.82,350.19,27.10,,,,,0.978,0.00966
3609845,"       (2012 TR20)",,,56211,2.44,0.5736,14.35,196.87,168.72,3.02,24.30,,,,,1.040,0.0469
3610167,"       (2012 TC43)",,,56210,3.763,0.7028,9.40,210.04,110.55,7.59,22.20,,,,,1.118,0.189
3610023,"       (2012 TX52)",,,59800,1.687,0.2457,5.77,217.30,111.62,199.32,22.10,,,,,1.273,0.282
3610024,"       (2012 TY52)",,,59800,1.663,0.5531,9.63,221.59,252.89,169.33,21.30,,,,,0.743,0.000687
3610025,"       (2012 TZ52)",,,59800,1.642,0.3218,18.14,206.24,201.91,223.40,20.70,,,,,1.114,0.135
3610026,"       (2012 TB53)",,,59800,1.254,0.1604,14.56,359.00,263.48,96.73,23.10,,,,,1.053,0.167
3610027,"       (2012 TD53)",,,59800,2.473,0.5068,9.16,29.14,345.86,192.36,22.10,,,,,1.220,0.225
3610028,"       (2012 TE53)",,,59800,2.319,0.5870,3.93,16.06,329.57,289.09,26.50,,,,,0.958,0.0035
3610029,"       (2012 TF53)",,,59800,1.426,0.3689,6.13,201.06,282.40,213.84,21.16,,,,,0.900,0.0466
3610030,"       (2012 TG53)",,,59800,2.181,0.5641,2.68,17.04,323.72,26.81,23.20,,,,,0.951,0.00483
3610031,"       (2012 TH53)",,,56210,1.847,0.4650,7.64,13.07,321.77,14.25,25.10,,,,,0.988,0.0335
3610032,"       (2012 TJ53)",,,56210,1.96,0.5761,1.68,180.60,135.35,15.56,26.30,,,,,0.831,0.00647
3610170,"       (2012 TT78)",,,59800,1.966,0.4183,7.73,246.13,240.63,140.11,20.10,,,,,1.144,0.2
3610339,"       (2012 TW78)",,,59800,2.342,0.4524,11.07,226.23,196.32,248.75,21.50,,,,,1.283,0.3
3610340,"       (2012 TX78)",,,59800,2.171,0.4492,8.50,89.21,228.93,51.43,19.40,,,,,1.196,0.213
3610343,"       (2012 TA79)",,,59800,2.326,0.4411,9.68,59.56,313.50,285.15,18.69,,,,,1.300,0.329
3610173,"       (2012 TD79)",,,56210,1.984,0.5966,8.13,199.00,249.59,341.96,24.20,,,,,0.800,0.0184
3610174,"       (2012 TE79)",,,56210,1.623,0.4480,3.28,13.68,60.26,338.30,26.60,,,,,0.896,0.0123
3610175,"       (2012 TF79)",,,59800,1.05,0.0382,1.01,199.86,265.76,325.13,27.38,,,,,1.010,0.0329
3610176,"       (2012 TG79)",,,56210,2.451,0.5764,1.06,2.43,15.79,359.67,26.70,,,,,1.038,0.0398
3610177,"       (2012 TH79)",,,59800,2.403,0.6173,7.73,157.15,287.62,210.63,21.60,,,,,0.920,0.0766
3610178,"       (2012 TJ79)",,,59800,1.515,0.3269,12.14,188.00,240.90,69.30,23.40,,,,,1.020,0.117
3610179,"       (2012 TK79)",,,59800,2.592,0.5655,10.59,24.96,337.14,131.89,23.50,,,,,1.126,0.14
3610180,"       (2012 TL79)",,,56211,1.802,0.3969,8.51,12.10,31.50,349.99,25.50,,,,,1.087,0.111
3610181,"       (2012 TM79)",,,59800,2.15,0.5534,1.40,15.14,334.13,49.55,26.60,,,,,0.960,0.000384
3610182,"       (2012 TY79)",,,59800,2.215,0.4148,19.53,23.46,54.27,332.94,20.10,,,,,1.296,0.392
3610183,"       (2012 TZ79)",,,59800,1.418,0.3133,10.77,7.96,262.80,6.42,22.40,,,,,0.974,0.119
3610358,"       (2012 TK123)",,,59800,1.815,0.6867,27.95,30.64,104.61,329.82,18.90,,,,,0.569,0.0823
3610525,"       (2012 TN139)",,,59800,2.373,0.5128,2.80,72.51,310.11,246.46,23.70,,,,,1.156,0.165
3610526,"       (2012 TO139)",,,59800,2.439,0.8884,5.36,179.21,56.30,229.03,19.85,,,,,0.272,0.000647
3610527,"       (2012 TP139)",,,59800,1.467,0.4645,2.34,271.79,3.36,244.03,20.23,,,,,0.786,0.0379
3610528,"       (2012 TQ139)",,,59800,1.805,0.3722,6.04,63.49,313.58,21.25,21.60,,,,,1.133,0.157
3610529,"       (2012 TR139)",,,56214,1.952,0.3860,52.44,200.25,173.01,6.97,20.80,,,,,1.199,0.203
3610759,"       (2012 TT145)",,,59800,2.137,0.4585,7.71,356.25,328.33,76.05,20.50,,,,,1.157,0.161
3610760,"       (2012 TD146)",,,59800,2.233,0.4885,9.23,275.05,49.67,2.32,20.36,,,,,1.142,0.171
3610761,"       (2012 TE146)",,,56215,1.508,0.3102,3.69,28.93,298.53,28.42,24.80,,,,,1.040,0.0621
3610762,"       (2012 TF146)",,,56219,2.133,0.5005,4.32,20.53,17.06,356.58,25.60,,,,,1.065,0.0744
3610763,"       (2012 TG146)",,,59800,2.752,0.5630,2.97,210.40,182.56,53.59,24.10,,,,,1.203,0.209
3610764,"       (2012 TH146)",,,59800,2.514,0.5066,3.66,231.00,163.16,165.35,23.80,,,,,1.240,0.248
3610765,"       (2012 TJ146)",,,59800,2.682,0.6439,5.17,41.46,54.89,56.40,20.66,,,,,0.955,0.0435
3611396,"       (2012 TQ146)",,,59800,1.539,0.4239,4.97,20.21,54.15,29.01,26.40,,,,,0.887,0.00472
3611397,"       (2012 TR146)",,,59800,1.57,0.2578,1.23,69.77,328.62,346.23,23.70,,,,,1.165,0.173
3617331,"       (2012 TA219)",,,59800,2.639,0.5626,25.05,34.77,91.50,73.71,17.90,,,,,1.154,0.447
3611398,"       (2012 TO231)",,,59800,2.858,0.6176,37.03,26.82,44.75,1.03,19.50,,,,,1.093,0.21
3611399,"       (2012 TP231)",,,59800,1.118,0.2536,6.76,30.15,75.67,52.78,24.90,,,,,0.835,0.00449
3611401,"       (2012 TQ231)",,,56210,1.195,0.4647,3.36,204.71,273.71,312.77,27.60,,,,,0.640,0.0038
3611402,"       (2012 TR231)",,,59800,0.8389,0.2910,33.44,199.90,347.36,121.81,23.90,,,,,0.595,0.0744
3611403,"       (2012 TS231)",,,59800,2.456,0.6025,5.43,41.34,281.74,212.19,21.00,,,,,0.976,0.0752
3611404,"       (2012 TT231)",,,56216,1.957,0.6475,7.07,196.23,274.22,340.22,23.30,,,,,0.690,0.0166
3611405,"       (2012 TU231)",,,59800,1.744,0.4535,9.61,19.22,327.56,105.60,26.20,,,,,0.953,0.00313
3611406,"       (2012 TV231)",,,59800,2.251,0.4459,9.62,31.89,347.37,326.93,23.10,,,,,1.247,0.253
3611415,"       (2012 TQ256)",,,59800,1.978,0.3611,1.67,197.62,209.86,178.59,21.60,,,,,1.264,0.275
3611416,"       (2012 TT256)",,,59800,2.667,0.7276,11.11,106.22,171.98,108.70,19.50,,,,,0.726,0.166
3612164,"       (2012 TA259)",,,59800,1.884,0.7396,10.30,144.45,354.45,262.65,20.30,,,,,0.491,0.171
3612165,"       (2012 TB259)",,,59800,1.907,0.5759,7.21,98.20,203.94,283.51,21.40,,,,,0.809,0.0773
3612173,"       (2012 TP274)",,,59800,2.452,0.5672,22.70,6.28,330.34,208.10,20.00,,,,,1.061,0.101
3612838,"       (2012 TX284)",,,59800,1.728,0.2937,18.13,33.75,298.61,151.86,20.84,,,,,1.220,0.314
3611400,"       (2012 UC)",,,59800,0.9299,0.3269,8.33,20.43,128.51,244.58,25.00,,,,,0.626,0.0189
3611407,"       (2012 UD)",,,59800,1.805,0.4171,8.72,11.25,15.08,14.71,23.60,,,,,1.052,0.0602
3611408,"       (2012 UE)",,,56216,1.903,0.5743,1.15,28.12,59.32,343.12,28.40,,,,,0.810,0.000485
3611409,"       (2012 UF)",,,59800,1.671,0.3997,6.66,21.74,17.37,188.72,26.30,,,,,1.003,0.0176
3611410,"       (2012 UG)",,,56220,2.283,0.5505,4.34,18.81,353.96,3.64,25.20,,,,,1.026,0.0276
3611411,"       (2012 UH)",,,56216,2.256,0.5357,7.50,200.70,176.31,1.46,26.60,,,,,1.048,0.0499
3611412,"       (2012 UJ)",,,56217,1.323,0.2286,28.32,203.15,218.83,336.06,25.30,,,,,1.021,0.0658
3611413,"       (2012 UK)",,,56218,1.526,0.3513,9.80,18.08,65.39,332.46,24.60,,,,,0.990,0.0977
3611414,"       (2012 UL)",,,59800,1.796,0.4340,0.93,235.55,127.13,35.20,25.90,,,,,1.016,0.0191
3612166,"       (2012 US9)",,,59800,1.093,0.2469,8.28,334.68,182.91,99.91,21.85,,,,,0.823,0.133
3612167,"       (2012 UT9)",,,56218,1.318,0.2402,26.31,200.33,159.03,15.49,23.70,,,,,1.001,0.0162
